,the_date,avgTemp,precipitation,avgWindSpeed,avghumidity,maxtemp,mintemp,maxwind,minwind,dir,avgF,MaxF,minF
1,1/1/2016,999,0,2.174993056,87.99055556,3.48,-3.007,4.589,0.377,285.9868056,32.09,38.26,26.59
2,1/2/2016,-0.74,0,1.819215278,85.81402778,2.703,-3.426,4.723,0.343,255.4298611,30.67,36.87,25.83
3,1/3/2016,0.05,0,1.900180556,92.84368056,4.9,-4.652,4.143,0.524,259.9034722,32.09,40.82,23.63
4,1/4/2016,-10.27,0,2.6383125,80.69618056,-3.944,-16.74,4.416,0.947,175.4877847,13.51,24.9,1.87
5,1/5/2016,-9.18,0,1.010847222,70.72236111,-1.472,-17.16,2.308,0.016,157.7070417,15.48,29.35,1.11
6,1/6/2016,-2.74,0,1.406152778,73.80215278,2.98,-11.35,2.984,0.073,207.6939583,27.07,37.36,11.57
7,1/7/2016,-0.09,0,1.243791667,69.01819444,7.838,-7.208,2.437,0.015,184.2575764,31.84,46.11,19.03
8,1/8/2016,0.61,0,1.46875,94.59861111,1.883,-1.953,2.535,0.5,98.98148611,33.1,35.39,28.48
9,1/9/2016,2.24,0,1.001770833,100,4.377,0.39,2.116,0.002,117.5445,36.03,39.88,32.7
10,1/10/2016,5.81,33.528,2.7458125,99.99861111,12.09,-1.617,6.909,0.388,181.0778125,42.46,53.76,29.09
11,1/11/2016,-5.33,0,2.711791667,77.86263889,-1.971,-9.37,5.691,0.307,279.1027778,22.41,28.45,15.13
12,1/12/2016,-5.03,1.524,2.047361111,90.98291667,-1.555,-9.1,5.297,0.115,216.4777708,22.95,29.2,15.62
13,1/13/2016,-7.38,0,2.947701389,69.87555556,-3.771,-10.3,7.018,0.669,277.2638889,18.72,25.21,13.46
14,1/14/2016,-4.96,0,1.568763889,82.28694444,-1.822,-9.5,4.047,0.064,249.2652778,23.07,28.72,14.9
15,1/15/2016,-0.02,1.778,1.183541667,95.52222222,3.433,-4.599,3.544,0.004,139.1037917,31.96,38.18,23.72
16,1/16/2016,1.65,14.986,1.865277778,99.98402778,6.012,-1.378,3.826,0.099,262.0090486,34.97,42.82,29.52
17,1/17/2016,-2.33,0.762,1.258583333,98.07916667,-0.202,-6.042,4.366,0.074,182.7891597,27.81,31.64,21.12
18,1/18/2016,-8.38,0,4.0966875,74.17944444,-4.954,-11.21,6.713,1.021,301.5145833,16.92,23.08,11.82
19,1/19/2016,-8.43,0,3.956673611,67.49368056,-6.457,-11.14,6.563,1.47,307.0708333,16.83,20.38,11.95
20,1/20/2016,-5.3,0,1.972256944,68.15784722,-0.626,-9.44,4.215,0.166,304.8625,22.46,30.87,15.01
21,1/21/2016,-5.91,0,2.194465278,67.32159722,-0.193,-10.64,4.089,0.546,316.8465208,21.36,31.65,12.85
22,1/22/2016,-5.76,0,1.997847222,67.63652778,-1.618,-10.57,3.577,1.053,151.8372569,21.63,29.09,12.97
23,1/23/2016,-5.69,0,3.217354167,59.45375,-4.238,-8.22,4.607,0.776,41.63609028,21.76,24.37,17.2
24,1/24/2016,-2.93,0,1.619527778,55.65569444,4.169,-9.46,3.047,0.177,218.600875,26.73,39.5,14.97
25,1/25/2016,-1.02,0,1.421229167,70.769375,4.465,-6.649,2.797,0.208,184.2940833,30.16,40.04,20.03
26,1/26/2016,2.64,0,2.077298611,82.61048611,5.487,-3.661,3.619,0.825,221.2208333,36.75,41.88,25.41
27,1/27/2016,-0.14,0,2.1539375,62.54027778,5.37,-5.888,6.583,0.123,282.0410069,31.75,41.67,21.4
28,1/28/2016,-0.26,0,1.743694444,68.21104167,4.645,-6.201,4.592,0.156,196.67,31.53,40.36,20.84
29,1/29/2016,-0.97,0,2.320840278,74.75354167,4.129,-4.858,5.375,0.025,276.5471181,30.25,39.43,23.26
30,1/30/2016,-0.33,0,2.056979167,63.32291667,3.47,-5.173,4.006,0.424,208.4275486,31.41,38.25,22.69
31,1/31/2016,4.7,0,1.978034722,61.87270833,8.96,0.054,2.913,0.726,191.5916667,40.46,48.13,32.1
32,2/1/2016,4.99,0,2.033243056,69.94756944,12.61,-0.144,4.576,0.576,279.5907639,40.98,54.7,31.74
33,2/2/2016,3.92,0,1.280993056,58.28409722,10.18,-0.417,3.477,0.104,253.7376042,39.06,50.32,31.25
34,2/3/2016,7.15,19.558,2.236694444,97.67013889,12.58,0.532,6.91,0.601,188.3763889,44.87,54.64,32.96
35,2/4/2016,5.42,0.254,1.904263889,86.52020833,11.32,1.47,4.918,0.152,311.2673611,41.76,52.38,34.65
36,2/5/2016,-2.46,11.938,2.013298611,90.26201389,1.541,-7.67,4.04,0.073,304.1506528,27.57,34.77,18.19
37,2/6/2016,-2.05,0.254,1.826722222,99.18680556,2.448,-6.861,4.749,0.363,184.95625,28.31,36.41,19.65
38,2/7/2016,1.46,0.254,1.578125,90.12166667,7.739,-4.816,4.41,0.25,105.3282917,34.63,45.93,23.33
39,2/8/2016,-5.94,4.318,1.950583333,90.76736111,-2.008,-7.483,4.805,0.189,126.4679167,21.31,28.39,18.53
